BHID,FROM,TO,_len,DUM,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,dist_hw,dist_fw,D1_surf,D1_solid,Au
0,0.0,1.0,1.0,0.0,0.0,90.0,86.7740249633789,4.5611903199149,-1.2298988494308105e-09,99.22796962947308,90.0,86.77408599853516,4.533053515215002,0.0,99.7271773347324,90.0,86.7741470336914,4.589326858256541,-2.4597860415198625e-09,98.72876192421376,-1.0,-1.0,-1.0,0,0.0
0,1.0,2.0,1.0,0.0,0.0,90.0,86.7741470336914,4.617462865744315,-3.6896500299476997e-09,98.22955418915211,90.0,86.7741470336914,4.589326858256541,-2.4597860415198625e-09,98.72876192421376,90.0,86.77408599853516,4.6455991377277,-4.919525675717296e-09,97.73034645409047,-1.0,-1.0,-1.0,0,0.0
0,2.0,3.0,1.0,0.0,0.0,90.0,86.77408599853516,4.673735676069342,-6.1494128678063475e-09,97.23113874883114,90.0,86.77408599853516,4.6455991377277,-4.919525675717296e-09,97.73034645409047,90.0,86.7740249633789,4.701872480769239,-7.379311717237158e-09,96.73193104357182,-1.0,-1.0,-1.0,0,0.0
0,3.0,4.0,1.0,0.0,0.0,90.0,86.77408599853516,4.730009285469137,-8.609210566667969e-09,96.2327233383125,90.0,86.7740249633789,4.701872480769239,-7.379311717237158e-09,96.73193104357182,90.0,86.77408599853516,4.7581458238107786,-9.83909775875702e-09,95.73351563305317,-1.0,-1.0,-1.0,0,0.0
0,4.0,5.0,1.0,0.0,0.0,90.0,86.77408599853516,4.78628236215242,-1.1068984950846072e-08,95.23430792779385,90.0,86.77408599853516,4.7581458238107786,-9.83909775875702e-09,95.73351563305317,90.0,86.77408599853516,4.814418900494061,-1.2298872142935124e-08,94.73510022253453,-1.0,-1.0,-1.0,0,0.0
0,5.0,6.0,1.0,0.0,0.0,90.0,86.7741470336914,4.8425551724774465,-1.352874778870472e-08,94.23589248747288,90.0,86.77408599853516,4.814418900494061,-1.2298872142935124e-08,94.73510022253453,90.0,86.63774108886719,4.871285391707502,-1.4784585666838268e-08,93.73671869725644,-1.0,-1.0,-1.0,0,0.0
0,6.0,7.0,1.0,0.0,0.0,90.0,86.45033264160156,4.901426059861265,-1.6102076116908393e-08,93.23762823433339,90.0,86.63774108886719,4.871285391707502,-1.4784585666838268e-08,93.73671869725644,90.0,86.27237701416016,4.933157877732597,-1.7489118042668395e-08,92.7386363574928,-1.0,-1.0,-1.0,0,0.0
0,7.0,8.0,1.0,0.0,0.0,90.0,86.10247802734375,4.966404290605865,-1.8942364898855146e-08,92.23974309653698,90.0,86.27237701416016,4.933157877732597,-1.7489118042668395e-08,92.7386363574928,90.0,85.9396743774414,5.001099036742531,-2.045892055768661e-08,91.74094842166363,-1.0,-1.0,-1.0,0,0.0
0,8.0,9.0,1.0,0.0,0.0,90.0,85.78150939941406,5.037190755565248,-2.2036539815140088e-08,91.24225289911686,90.0,85.9396743774414,5.001099036742531,-2.045892055768661e-08,91.74094842166363,90.0,85.59166717529297,5.074796808619581,-2.3680352789767767e-08,90.7436693438953,-1.0,-1.0,-1.0,0,0.0
0,9.0,10.0,1.0,0.0,0.0,90.0,85.40961456298828,5.1140207627011165,-2.5394886304930253e-08,90.2452104517883,90.0,85.59166717529297,5.074796808619581,-2.3680352789767767e-08,90.7436693438953,90.0,85.23448944091797,5.154798207540594,-2.7177325057081703e-08,89.74687619299351,-1.0,-1.0,-1.0,0,0.0
0,10.0,11.0,1.0,0.0,0.0,90.0,85.06556701660156,5.197071654458128,-2.902515616742818e-08,89.2486666271156,90.0,85.23448944091797,5.154798207540594,-2.7177325057081703e-08,89.74687619299351,90.0,84.90226745605469,5.24078932564386,-3.093611644633398e-08,88.75058166474759,-1.0,-1.0,-1.0,0,0.0
0,11.0,12.0,1.0,0.0,0.0,90.0,84.73139953613281,5.285959301252447,-3.2910558833698644e-08,88.25262637228428,90.0,84.90226745605469,5.24078932564386,-3.093611644633398e-08,88.75058166474759,90.0,84.54666137695312,5.332674333561741,-3.495253786400809e-08,87.7548136839336,-1.0,-1.0,-1.0,0,0.0
0,12.0,13.0,1.0,0.0,0.0,90.0,84.36792755126953,5.380968140174232,-3.706352724730522e-08,87.2571516463226,90.0,84.54666137695312,5.332674333561741,-3.495253786400809e-08,87.7548136839336,90.0,84.19470977783203,5.430790209878765,-3.9241319194083246e-08,86.75964028925358,-1.0,-1.0,-1.0,0,0.0
0,13.0,14.0,1.0,0.0,0.0,90.0,84.02643585205078,5.482094680626474,-4.148390886360431e-08,86.26227958292424,90.0,84.19470977783203,5.430790209878765,-3.9241319194083246e-08,86.75964028925358,90.0,83.8628158569336,5.534839452911697,-4.3789456172227403e-08,85.76506952733456,-1.0,-1.0,-1.0,0,0.0
0,14.0,15.0,1.0,0.0,0.0,90.0,83.68347930908203,5.589072065163933,-4.6160039013365406e-08,85.26801959962307,90.0,83.8628158569336,5.534839452911697,-4.3789456172227403e-08,85.76506952733456,90.0,83.50215148925781,5.644868811328493,-4.8598992496984295e-08,84.77114285320698,-1.0,-1.0,-1.0,0,0.0
0,15.0,16.0,1.0,0.0,0.0,90.0,83.32573699951172,5.70221648152598,-5.1105738863022054e-08,84.27444268555104,90.0,83.50215148925781,5.644868811328493,-4.8598992496984295e-08,84.77114285320698,90.0,83.1537857055664,5.761073881496273,-5.367847777382195e-08,83.77791915625988,-1.0,-1.0,-1.0,0,0.0
0,16.0,17.0,1.0,0.0,0.0,90.0,82.98602294921875,5.821403002102457,-5.631554744756073e-08,83.28157229513585,90.0,83.1537857055664,5.761073881496273,-5.367847777382195e-08,83.77791915625988,90.0,82.82028198242188,5.883176421482645,-5.901574950950561e-08,82.78540308565556,-1.0,-1.0,-1.0,0,0.0
0,17.0,18.0,1.0,0.0,0.0,90.0,82.6369400024414,5.946461034674726,-6.178200806505885e-08,82.28942443222462,90.0,82.82028198242188,5.883176421482645,-5.901574950950561e-08,82.78540308565556,90.0,82.45797729492188,6.0113134735418186,-6.461679824543154e-08,81.79364831537663,-1.0,-1.0,-1.0,0,0.0
0,18.0,19.0,1.0,0.0,0.0,90.0,82.28319549560547,6.077696067948423,-6.751847358987817e-08,81.29807473511158,90.0,82.45797729492188,6.0113134735418186,-6.461679824543154e-08,81.79364831537663,90.0,82.11225128173828,6.145573509593092,-7.048549088839451e-08,80.80270372123181,-1.0,-1.0,-1.0,0,0.0
0,19.0,20.0,1.0,0.0,0.0,90.0,81.94490051269531,6.214913075525843,-7.351641972963563e-08,80.30753521413266,90.0,82.11225128173828,6.145573509593092,-7.048549088839451e-08,80.80270372123181,90.0,81.77204132080078,6.28572243239411,-7.661159517891036e-08,79.81257478684842,-1.0,-1.0,-1.0,0,0.0
0,20.0,21.0,1.0,0.0,0.0,90.0,81.59117889404297,6.3580592998457774,-7.977354010701987e-08,79.31783528418003,90.0,81.77204132080078,6.28572243239411,-7.661159517891036e-08,79.81257478684842,90.0,81.41407012939453,6.4319413208556995,-8.300302611896626e-08,78.82332415670811,-1.0,-1.0,-1.0,0,0.0
0,21.0,22.0,1.0,0.0,0.0,90.0,81.2405014038086,6.507336316366278,-8.629864611808813e-08,78.32904146403729,90.0,81.41407012939453,6.4319413208556995,-8.300302611896626e-08,78.82332415670811,90.0,81.07027435302734,6.584213910360418,-8.965907249969263e-08,77.83498717636525,-1.0,-1.0,-1.0,0,0.0
0,22.0,23.0,1.0,0.0,0.0,90.0,80.90322875976562,6.662545306344114,-9.308304649291443e-08,77.34116126388966,90.0,81.07027435302734,6.584213910360418,-8.965907249969263e-08,77.83498717636525,90.0,80.72493743896484,6.742364546020113,-9.657205646274036e-08,76.84757368058621,-1.0,-1.0,-1.0,0,0.0
0,23.0,24.0,1.0,0.0,0.0,90.0,80.54591369628906,6.823722487051569,-1.0012832507566571e-07,76.35423739046513,90.0,80.72493743896484,6.742364546020113,-9.657205646274036e-08,76.84757368058621,90.0,80.37020111083984,6.9066072383118495,-1.0375133296935957e-07,75.86115531415402,-1.0,-1.0,-1.0,0,0.0
0,24.0,25.0,1.0,0.0,0.0,90.0,80.19764709472656,6.990990174670301,-1.0743982825633935e-07,75.36832745165287,90.0,80.37020111083984,6.9066072383118495,-1.0375133296935957e-07,75.86115531415402,90.0,80.02799987792969,7.076844451685034,-1.1119263787495726e-07,74.87575374335705,-1.0,-1.0,-1.0,0,0.0
0,25.0,26.0,1.0,0.0,0.0,90.0,79.85911560058594,7.164153536517702,-1.1500903929206885e-07,74.38343582839428,90.0,80.02799987792969,7.076844451685034,-1.1119263787495726e-07,74.87575374335705,90.0,79.67858123779297,7.2529634141517505,-1.1889104245543791e-07,73.89138643235623,-1.0,-1.0,-1.0,0,0.0
0,26.0,27.0,1.0,0.0,0.0,90.0,79.50105285644531,7.343310354013525,-1.228402327635436e-07,73.39961693973004,90.0,79.67858123779297,7.2529634141517505,-1.1889104245543791e-07,73.89138643235623,90.0,79.32649993896484,7.4351678096843585,-1.268554498112806e-07,72.90812738031804,-1.0,-1.0,-1.0,0,0.0
