First 97 data of cluster.dat 
5
Xlocation                    
Ylocation                    
Primary                      
Secondary                    
Declustering Weight          
   39.5000    18.5000      .0600      .2200     4.0000
    5.5000     1.5000      .0600      .2700     4.0000
   38.5000     5.5000      .0800      .4000     3.5000
   20.5000     1.5000      .0900      .3900     4.5000
   27.5000    14.5000      .0900      .2400     3.3330
   40.5000    21.5000      .1000      .4800     2.3330
   15.5000     3.5000      .1000      .2100     3.0000
    6.5000    25.5000      .1100      .3600     4.0000
   38.5000    21.5000      .1100      .2200     2.8330
   23.5000    18.5000      .1600      .3000     4.5000
     .5000    25.5000      .1600      .3100     3.3330
    9.5000    19.5000      .1700      .3000     2.5000
   36.5000    43.5000      .1800     1.6000     2.3330
   21.5000     5.5000      .1900      .5900     3.5000
   13.5000     3.5000      .1900      .1800     2.8330
   40.5000     7.5000      .1900      .7500     2.5000
   31.5000    17.5000      .2200      .4400     4.0000
   46.5000    40.5000      .2400      .5800     4.5000
   10.5000     7.5000      .2600      .5400     3.1670
   28.5000    11.5000      .2800      .6200     3.8330
    8.5000     7.5000      .2800      .9700     3.1670
   47.5000      .5000      .3100     2.8800     5.0000
    4.5000    37.5000      .3200      .3500     2.3330
   14.5000    21.5000      .3300      .4800     4.0000
   22.5000    48.5000      .3400      .4800     5.0000
   18.5000     6.5000      .3400      .2300     4.0000
    3.5000    38.5000      .3400      .5100     2.3330
   11.5000    46.5000      .4000      .4700     2.6670
   31.5000    26.5000      .4500      .7400     4.0000
   14.5000    29.5000      .4600     2.5200     2.5330
   14.5000    43.5000      .5100     1.2100     2.6670
   38.5000    28.5000      .5700     5.5500     2.6760
   45.5000    14.5000      .6200     2.3000     3.1670
    4.5000    30.5000      .6500     1.0600     3.5000
    6.5000    41.5000      .6700      .4300     4.5000
    7.5000    12.5000      .7100     2.0700     3.8330
   26.5000    23.5000      .7900     1.4000     3.1670
    8.5000    45.5000      .8100      .8000     4.5000
   14.5000    46.5000      .8300      .7200     2.6670
   13.5000    24.5000      .8400      .6000     2.5000
   26.5000     1.5000      .8900     1.0100     4.0000
   33.5000     7.5000      .9200      .9900     4.0000
   45.5000    22.5000      .9300     1.2900     3.5000
   48.5000    25.5000      .9400     1.0600     4.0000
   35.5000    10.5000      .9600      .6600     3.0000
   34.5000    14.5000      .9900      .5200     3.0000
   13.5000    39.5000      .9900     1.5300     4.5000
    7.5000    18.5000     1.0100      .6700     3.0000
   15.5000    27.5000     1.0200      .6600     2.8330
    3.5000    33.5000     1.1000     1.0900     2.8330
   11.5000    15.5000     1.1100      .4200     3.2500
   22.5000    30.5000     1.2100     2.1600     3.5000
   45.5000    29.5000     1.2100     2.0700     4.0000
   13.5000    12.5000     1.2700      .6100     3.7500
   22.5000    11.5000     1.3400     2.1500     4.5000
   17.5000    34.5000     1.3600     2.5800     4.0000
   39.5000    43.5000     1.3700     1.4500     2.8330
    3.5000    23.5000     1.3800      .9900     2.3330
   30.5000    22.5000     1.3800     1.3700     3.5000
   46.5000    13.5000     1.6600     4.6800     2.6670
   30.5000     9.5000     1.7000     1.3000     3.3330
   27.5000    32.5000     1.7100     3.6100     2.3330
   12.5000    34.5000     1.7800     6.2500     3.7000
   25.5000     4.5000     1.8100     1.3700     3.5000
   27.5000    34.5000     1.8200     4.7300     2.8330
   45.5000     6.5000     1.8900     1.8900     5.0000
    3.5000    47.5000     1.9600     3.4700     5.0000
   33.5000    31.5000     1.9800     4.9600     1.4100
   41.5000    26.5000     2.1300     1.8000     3.1670
   19.5000    20.5000     2.1700     1.4100     3.5000
     .5000    41.5000     2.3300     1.9800     4.0000
    5.5000    22.5000     2.3400     1.2500     2.3330
   43.5000    10.5000     2.4700     1.8000     2.1670
   41.5000    45.5000     2.7500     2.6500     4.0000
   28.5000    42.5000     2.7600     7.6600     1.4170
   21.5000    34.5000     2.8400     3.6600     3.5000
   16.5000    13.5000     2.9900     2.7400     2.1500
   23.5000    24.5000     3.0400     1.6600     2.6670
    2.5000     1.5000     3.3300     1.8900     4.0000
   47.5000    44.5000     3.3500     2.9400     4.5000
   39.5000    38.5000     3.5100      .8700     2.3670
   46.5000    34.5000     3.8100     4.4400     5.0000
   35.5000    45.5000     4.6000     4.7000     1.9440
   25.5000    25.5000     4.8900     2.1000     3.1670
   28.5000    44.5000     5.0500     5.1800     1.4500
   19.5000    42.5000     5.1500     2.1900     5.0000
   38.5000    36.5000     5.3100     3.2900      .8580
    2.5000     9.5000     6.2600    17.0200      .7220
   32.5000    36.5000     6.4100     2.4500      .8610
     .5000     8.5000     6.4900    14.9500      .8110
   31.5000    45.5000     7.5300    10.2100      .7560
    9.5000    29.5000     8.0300     5.2100     1.1000
   39.5000    31.5000     8.3400     8.0200      .8430
   17.5000    15.5000     9.0800     3.3200     1.1000
    2.5000    14.5000    10.2700     5.6700     1.0610
   30.5000    41.5000    17.1900    10.1000      .8890
   35.5000    32.5000    18.7600    10.7600      .6460
