Irregular Spaced 29 primary and secondary data
4
Xlocation
Ylocation
Primary
Secondary
20.5  1.5   .09   .39
 6.5 25.5   .11   .36
 9.5 19.5   .17   .30
40.5  7.5   .19   .75
28.5 11.5   .28   .62
14.5 21.5   .33   .48
11.5 46.5   .40   .47
38.5 28.5   .57  5.55
 7.5 12.5   .71  2.07
13.5 24.5   .84   .60
48.5 25.5   .94  1.06
 7.5 18.5  1.01   .67
22.5 30.5  1.21  2.16
17.5 34.5  1.36  2.58
46.5 13.5  1.66  4.68
25.5  4.5  1.81  1.37
33.5 31.5  1.98  4.96
 5.5 22.5  2.34  1.25
21.5 34.5  2.84  3.66
 9.5 29.5  8.03  5.21
30.5 41.5 17.19 10.10
38.5 37.5  9.08  1.68
 2.5 10.5  2.55 15.91
32.5 37.5  3.21  2.75
40.5 31.5  2.51  4.96
18.5 15.5  4.92  2.86
 3.5 14.5  3.61  5.03
31.5 41.5 22.75  8.21
36.5 32.5  5.26 12.40
