13,-140463,-30977,151
14,-136211,-12166,255
22,-123184,-9111,79
23,-121276,9758,191
24,-120674,1960,194
29,-116780,-32596,334
30,-115480,-4816,107
35,-109680,20655,296
36,-109192,-36075,394
37,-109172,-34963,394
52,-93540,-14096,324
55,-92287,65956,105
66,-84732,68067,135
71,-83690,-18690,585
73,-83783,-80965,114
84,-75594,17901,334
95,-68707,-43345,131
102,-63854,-92327,78
105,-62677,19974,398
126,-46443,-37998,141
130,-45400,-1310,192
136,-42594,70948,151
138,-42513,82067,107
159,-34132,-26960,145
168,-29884,57526,334
172,-28425,47511,327
178,-26758,81974,213
181,-25311,69736,331
185,-24717,31927,400
188,-23978,27477,327
192,-21560,67497,380
198,-19610,-25914,94
202,-17218,8550,185
203,-17186,19669,239
207,-14028,71922,330
208,-13567,-57065,30
218,-6524,61902,254
224,254,-1483,53
226,1790,-51520,78
235,6322,16312,71
245,14022,-32601,62
246,13971,-10362,71
247,16178,18554,59
254,21414,38586,60
261,24364,56389,124
263,25738,86417,153
274,30369,60865,75
275,31263,34182,137
276,31216,43078,86
277,32301,-18075,129
281,33150,-33638,345
283,34145,-74775,441
287,33874,105361,184
292,37632,102049,121
293,39277,-34713,346
300,41380,-6899,270
302,42166,95408,100
305,44793,45389,45
314,45988,85429,107
317,47728,-39100,359
320,49386,-54654,278
322,49452,29858,72
335,54225,86611,131
336,56563,-83503,90
341,55862,72171,141
342,55851,73283,131
344,59158,-33438,452
357,63585,-91218,16
362,63172,91149,136
368,65718,64488,130
369,65456,87838,118
372,66256,83399,109
373,68438,24486,145
377,71226,-18851,254
378,70784,81227,140
381,71928,48992,152
384,73312,59018,60
392,78296,-34332,283
399,81859,40225,184
400,81960,86933,127
401,84694,230,220
406,85540,46949,178
408,87981,-16404,218
409,86885,58090,137
421,94901,74895,144
423,96720,9309,230
424,96467,24875,282
425,98187,-34040,129
436,105188,-40595,65
442,107070,-17206,190
449,113152,-15982,170
450,111636,64067,156
451,114546,-49321,131
455,120891,-21392,10
456,122870,-43597,99
458,125007,937,92
460,128096,-1222,67
466,142077,-45399,18
468,145302,-51996,20
471,150921,-61870,55

